SNo.,Code,State,Andhra Pradesh (AP)District,Headquarters,Population,Area,Density
760,SE,National Capital Territory of Delhi (DL),South East Delhi,Defence Colony,"1,500,636",102,"15,000"
761,SW,National Capital Territory of Delhi (DL),South West Delhi,Vasant Vihar,"2,292,958",395,"5,446"
762,WD,National Capital Territory of Delhi (DL),West Delhi,Rajouri Garden,"2,543,243",112,"19,563"
763,KA,Puducherry (PY),Karaikal,Karaikal,"200,222",157,"1,275"
764,MA,Puducherry (PY),Mahé,Mahé,"41,816",9,"4,646"
765,PO,Puducherry (PY),Puducherry,Pondicherry,"950,289",293,"3,232"
766,YA,Puducherry (PY),Yanam,Yanam,"55,626",30,"1,854"
,,,,,,,
,,,,,,,
https://www.downloadexcelfiles.com/in_en/download-list-districts-india,,,,,,,
